<0,0> -> 0.000000 
<1,0> -> 50.000000 
<1,1> -> 50.000000 
<2,0> -> 57.500000 
<2,1> -> 115.000000 
<2,2> -> 57.500000 
<3,0> -> 58.625000 
<3,1> -> 125.875000 
<3,2> -> 125.875000 
<3,3> -> 58.625000 
<4,0> -> 58.793750 
<4,1> -> 127.675000 
<4,2> -> 137.762500 
<4,3> -> 127.675000 
<4,4> -> 58.793750 
<5,0> -> 58.819063 
<5,1> -> 127.970313 
<5,2> -> 139.815625 
<5,3> -> 139.815625 
<5,4> -> 127.970313 
<5,5> -> 58.819063 
<6,0> -> 58.822859 
<6,1> -> 128.018406 
<6,2> -> 140.167891 
<6,3> -> 141.944687 
<6,4> -> 140.167891 
<6,5> -> 128.018406 
<6,6> -> 58.822859 
<7,0> -> 58.823429 
<7,1> -> 128.026190 
<7,2> -> 140.227945 
<7,3> -> 142.316887 
<7,4> -> 142.316887 
<7,5> -> 140.227945 
<7,6> -> 128.026190 
<7,7> -> 58.823429 
<8,0> -> 58.823514 
<8,1> -> 128.027443 
<8,2> -> 140.238120 
<8,3> -> 142.381725 
<8,4> -> 142.695066 
<8,5> -> 142.381725 
<8,6> -> 140.238120 
<8,7> -> 128.027443 
<8,8> -> 58.823514 
<9,0> -> 58.823527 
<9,1> -> 128.027644 
<9,2> -> 140.239834 
<9,3> -> 142.392977 
<9,4> -> 142.761519 
<9,5> -> 142.761519 
<9,6> -> 142.392977 
<9,7> -> 140.239834 
<9,8> -> 128.027644 
<9,9> -> 58.823527 
<10,0> -> 58.823529 
<10,1> -> 128.027676 
<10,2> -> 140.240122 
<10,3> -> 142.394922 
<10,4> -> 142.773174 
<10,5> -> 142.828456 
<10,6> -> 142.773174 
<10,7> -> 142.394922 
<10,8> -> 140.240122 
<10,9> -> 128.027676 
<10,10> -> 58.823529 
<11,0> -> 58.823529 
<11,1> -> 128.027681 
<11,2> -> 140.240170 
<11,3> -> 142.395257 
<11,4> -> 142.775214 
<11,5> -> 142.840244 
<11,6> -> 142.840244 
<11,7> -> 142.775214 
<11,8> -> 142.395257 
<11,9> -> 140.240170 
<11,10> -> 128.027681 
<11,11> -> 58.823529 
<12,0> -> 58.823529 
<12,1> -> 128.027682 
<12,2> -> 140.240178 
<12,3> -> 142.395314 
<12,4> -> 142.775571 
<12,5> -> 142.842319 
<12,6> -> 142.852073 
<12,7> -> 142.842319 
<12,8> -> 142.775571 
<12,9> -> 142.395314 
<12,10> -> 140.240178 
<12,11> -> 128.027682 
<12,12> -> 58.823529 
<13,0> -> 58.823529 
<13,1> -> 128.027682 
<13,2> -> 140.240179 
<13,3> -> 142.395324 
<13,4> -> 142.775633 
<13,5> -> 142.842683 
<13,6> -> 142.854159 
<13,7> -> 142.854159 
<13,8> -> 142.842683 
<13,9> -> 142.775633 
<13,10> -> 142.395324 
<13,11> -> 140.240179 
<13,12> -> 128.027682 
<13,13> -> 58.823529 
<14,0> -> 58.823529 
<14,1> -> 128.027682 
<14,2> -> 140.240179 
<14,3> -> 142.395325 
<14,4> -> 142.775643 
<14,5> -> 142.842747 
<14,6> -> 142.854526 
<14,7> -> 142.856248 
<14,8> -> 142.854526 
<14,9> -> 142.842747 
<14,10> -> 142.775643 
<14,11> -> 142.395325 
<14,12> -> 140.240179 
<14,13> -> 128.027682 
<14,14> -> 58.823529 
<15,0> -> 58.823529 
<15,1> -> 128.027682 
<15,2> -> 140.240179 
<15,3> -> 142.395326 
<15,4> -> 142.775645 
<15,5> -> 142.842759 
<15,6> -> 142.854591 
<15,7> -> 142.856616 
