<0,0> -> 0.000000 
<1,0> -> 2.500000 
<1,1> -> 2.500000 
<2,0> -> 2.875000 
<2,1> -> 5.750000 
<2,2> -> 2.875000 
<3,0> -> 2.931250 
<3,1> -> 6.293750 
<3,2> -> 6.293750 
<3,3> -> 2.931250 
<4,0> -> 2.939687 
<4,1> -> 6.383750 
<4,2> -> 6.888125 
<4,3> -> 6.383750 
<4,4> -> 2.939687 
<5,0> -> 2.940953 
<5,1> -> 6.398516 
<5,2> -> 6.990781 
<5,3> -> 6.990781 
<5,4> -> 6.398516 
<5,5> -> 2.940953 
<6,0> -> 2.941143 
<6,1> -> 6.400920 
<6,2> -> 7.008395 
<6,3> -> 7.097234 
<6,4> -> 7.008395 
<6,5> -> 6.400920 
<6,6> -> 2.941143 
<7,0> -> 2.941171 
<7,1> -> 6.401309 
<7,2> -> 7.011397 
<7,3> -> 7.115844 
<7,4> -> 7.115844 
<7,5> -> 7.011397 
<7,6> -> 6.401309 
<7,7> -> 2.941171 
<8,0> -> 2.941176 
<8,1> -> 6.401372 
<8,2> -> 7.011906 
<8,3> -> 7.119086 
<8,4> -> 7.134753 
<8,5> -> 7.119086 
<8,6> -> 7.011906 
<8,7> -> 6.401372 
<8,8> -> 2.941176 
<9,0> -> 2.941176 
<9,1> -> 6.401382 
<9,2> -> 7.011992 
<9,3> -> 7.119649 
<9,4> -> 7.138076 
<9,5> -> 7.138076 
<9,6> -> 7.119649 
<9,7> -> 7.011992 
<9,8> -> 6.401382 
<9,9> -> 2.941176 
