<0,0> -> 0.000000 
<1,0> -> 959.500000 
<1,1> -> 959.500000 
<2,0> -> 1103.425000 
<2,1> -> 2206.850000 
<2,2> -> 1103.425000 
<3,0> -> 1125.013750 
<3,1> -> 2415.541250 
<3,2> -> 2415.541250 
<3,3> -> 1125.013750 
<4,0> -> 1128.252062 
<4,1> -> 2450.083250 
<4,2> -> 2643.662375 
<4,3> -> 2450.083250 
<4,4> -> 1128.252062 
<5,0> -> 1128.737809 
<5,1> -> 2455.750297 
<5,2> -> 2683.061844 
<5,3> -> 2683.061844 
<5,4> -> 2455.750297 
<5,5> -> 1128.737809 
<6,0> -> 1128.810671 
<6,1> -> 2456.673216 
<6,2> -> 2689.821821 
<6,3> -> 2723.918553 
<6,4> -> 2689.821821 
<6,5> -> 2456.673216 
<6,6> -> 1128.810671 
<7,0> -> 1128.821601 
<7,1> -> 2456.822583 
<7,2> -> 2690.974256 
<7,3> -> 2731.061056 
<7,4> -> 2731.061056 
<7,5> -> 2690.974256 
<7,6> -> 2456.822583 
<7,7> -> 1128.821601 
<8,0> -> 1128.823240 
<8,1> -> 2456.846628 
<8,2> -> 2691.169526 
<8,3> -> 2732.305297 
<8,4> -> 2738.318317 
<8,5> -> 2732.305297 
<8,6> -> 2691.169526 
<8,7> -> 2456.846628 
<8,8> -> 1128.823240 
<9,0> -> 1128.823486 
<9,1> -> 2456.850480 
<9,2> -> 2691.202423 
<9,3> -> 2732.521223 
<9,4> -> 2739.593542 
<9,5> -> 2739.593542 
<9,6> -> 2732.521223 
<9,7> -> 2691.202423 
<9,8> -> 2456.850480 
<9,9> -> 1128.823486 
<10,0> -> 1128.823523 
<10,1> -> 2456.851095 
<10,2> -> 2691.207935 
<10,3> -> 2732.558547 
<10,4> -> 2739.817215 
<10,5> -> 2740.878063 
<10,6> -> 2739.817215 
<10,7> -> 2732.558547 
<10,8> -> 2691.207935 
<10,9> -> 2456.851095 
<10,10> -> 1128.823523 
<11,0> -> 1128.823528 
<11,1> -> 2456.851193 
<11,2> -> 2691.208855 
<11,3> -> 2732.564972 
<11,4> -> 2739.856364 
<11,5> -> 2741.104292 
<11,6> -> 2741.104292 
<11,7> -> 2739.856364 
<11,8> -> 2732.564972 
<11,9> -> 2691.208855 
<11,10> -> 2456.851193 
<11,11> -> 1128.823528 
<12,0> -> 1128.823529 
<12,1> -> 2456.851208 
<12,2> -> 2691.209007 
<12,3> -> 2732.566074 
<12,4> -> 2739.863200 
<12,5> -> 2741.144098 
<12,6> -> 2741.331287 
<12,7> -> 2741.144098 
<12,8> -> 2739.863200 
<12,9> -> 2732.566074 
<12,10> -> 2691.209007 
<12,11> -> 2456.851208 
<12,12> -> 1128.823529 
<13,0> -> 1128.823529 
<13,1> -> 2456.851211 
<13,2> -> 2691.209032 
<13,3> -> 2732.566262 
<13,4> -> 2739.864391 
<13,5> -> 2741.151095 
<13,6> -> 2741.371308 
<13,7> -> 2741.371308 
<13,8> -> 2741.151095 
<13,9> -> 2739.864391 
<13,10> -> 2732.566262 
<13,11> -> 2691.209032 
<13,12> -> 2456.851211 
<13,13> -> 1128.823529 
<14,0> -> 1128.823529 
<14,1> -> 2456.851211 
<14,2> -> 2691.209036 
<14,3> -> 2732.566294 
<14,4> -> 2739.864598 
<14,5> -> 2741.152323 
<14,6> -> 2741.378360 
<14,7> -> 2741.411392 
<14,8> -> 2741.378360 
<14,9> -> 2741.152323 
<14,10> -> 2739.864598 
<14,11> -> 2732.566294 
<14,12> -> 2691.209036 
<14,13> -> 2456.851211 
<14,14> -> 1128.823529 
<15,0> -> 1128.823529 
<15,1> -> 2456.851211 
<15,2> -> 2691.209037 
<15,3> -> 2732.566300 
<15,4> -> 2739.864634 
<15,5> -> 2741.152538 
<15,6> -> 2741.379602 
<15,7> -> 2741.418463 
<15,8> -> 2741.418463 
<15,9> -> 2741.379602 
<15,10> -> 2741.152538 
<15,11> -> 2739.864634 
<15,12> -> 2732.566300 
<15,13> -> 2691.209037 
<15,14> -> 2456.851211 
<15,15> -> 1128.823529 
<16,0> -> 1128.823529 
<16,1> -> 2456.851211 
<16,2> -> 2691.209037 
<16,3> -> 2732.566301 
<16,4> -> 2739.864640 
<16,5> -> 2741.152576 
