<0,0> -> 0.000000 
<1,0> -> 19.000000 
<1,1> -> 19.000000 
<2,0> -> 21.850000 
<2,1> -> 43.700000 
<2,2> -> 21.850000 
<3,0> -> 22.277500 
<3,1> -> 47.832500 
<3,2> -> 47.832500 
<3,3> -> 22.277500 
<4,0> -> 22.341625 
<4,1> -> 48.516500 
<4,2> -> 52.349750 
<4,3> -> 48.516500 
<4,4> -> 22.341625 
<5,0> -> 22.351244 
<5,1> -> 48.628719 
<5,2> -> 53.129938 
<5,3> -> 53.129938 
<5,4> -> 48.628719 
<5,5> -> 22.351244 
<6,0> -> 22.352687 
<6,1> -> 48.646994 
<6,2> -> 53.263798 
<6,3> -> 53.938981 
<6,4> -> 53.263798 
<6,5> -> 48.646994 
<6,6> -> 22.352687 
