<0,0> -> 0.000000 
<1,0> -> 17.000000 
<1,1> -> 17.000000 
<2,0> -> 19.550000 
<2,1> -> 39.100000 
<2,2> -> 19.550000 
<3,0> -> 19.932500 
<3,1> -> 42.797500 
<3,2> -> 42.797500 
<3,3> -> 19.932500 
<4,0> -> 19.989875 
<4,1> -> 43.409500 
<4,2> -> 46.839250 
<4,3> -> 43.409500 
<4,4> -> 19.989875 
<5,0> -> 19.998481 
<5,1> -> 43.509906 
<5,2> -> 47.537312 
<5,3> -> 47.537312 
<5,4> -> 43.509906 
<5,5> -> 19.998481 
<6,0> -> 19.999772 
<6,1> -> 43.526258 
<6,2> -> 47.657083 
<6,3> -> 48.261194 
<6,4> -> 47.657083 
<6,5> -> 43.526258 
<6,6> -> 19.999772 
<7,0> -> 19.999966 
<7,1> -> 43.528905 
<7,2> -> 47.677501 
<7,3> -> 48.387741 
<7,4> -> 48.387741 
<7,5> -> 47.677501 
<7,6> -> 43.528905 
<7,7> -> 19.999966 
<8,0> -> 19.999995 
<8,1> -> 43.529331 
<8,2> -> 47.680961 
<8,3> -> 48.409786 
<8,4> -> 48.516322 
<8,5> -> 48.409786 
<8,6> -> 47.680961 
<8,7> -> 43.529331 
<8,8> -> 19.999995 
<9,0> -> 19.999999 
<9,1> -> 43.529399 
<9,2> -> 47.681544 
<9,3> -> 48.413612 
<9,4> -> 48.538916 
<9,5> -> 48.538916 
<9,6> -> 48.413612 
<9,7> -> 47.681544 
<9,8> -> 43.529399 
<9,9> -> 19.999999 
<10,0> -> 20.000000 
<10,1> -> 43.529410 
<10,2> -> 47.681641 
<10,3> -> 48.414273 
<10,4> -> 48.542879 
<10,5> -> 48.561675 
<10,6> -> 48.542879 
<10,7> -> 48.414273 
<10,8> -> 47.681641 
<10,9> -> 43.529410 
<10,10> -> 20.000000 
<11,0> -> 20.000000 
<11,1> -> 43.529411 
<11,2> -> 47.681658 
<11,3> -> 48.414387 
<11,4> -> 48.543573 
<11,5> -> 48.565683 
<11,6> -> 48.565683 
<11,7> -> 48.543573 
<11,8> -> 48.414387 
<11,9> -> 47.681658 
<11,10> -> 43.529411 
<11,11> -> 20.000000 
<12,0> -> 20.000000 
<12,1> -> 43.529412 
<12,2> -> 47.681660 
<12,3> -> 48.414407 
<12,4> -> 48.543694 
<12,5> -> 48.566388 
<12,6> -> 48.569705 
<12,7> -> 48.566388 
<12,8> -> 48.543694 
<12,9> -> 48.414407 
<12,10> -> 47.681660 
<12,11> -> 43.529412 
<12,12> -> 20.000000 
<13,0> -> 20.000000 
<13,1> -> 43.529412 
<13,2> -> 47.681661 
<13,3> -> 48.414410 
<13,4> -> 48.543715 
<13,5> -> 48.566512 
<13,6> -> 48.570414 
<13,7> -> 48.570414 
<13,8> -> 48.566512 
<13,9> -> 48.543715 
<13,10> -> 48.414410 
<13,11> -> 47.681661 
<13,12> -> 43.529412 
<13,13> -> 20.000000 
<14,0> -> 20.000000 
<14,1> -> 43.529412 
<14,2> -> 47.681661 
<14,3> -> 48.414411 
<14,4> -> 48.543719 
<14,5> -> 48.566534 
<14,6> -> 48.570539 
<14,7> -> 48.571124 
<14,8> -> 48.570539 
<14,9> -> 48.566534 
<14,10> -> 48.543719 
<14,11> -> 48.414411 
<14,12> -> 47.681661 
<14,13> -> 43.529412 
<14,14> -> 20.000000 
<15,0> -> 20.000000 
<15,1> -> 43.529412 
<15,2> -> 47.681661 
<15,3> -> 48.414411 
<15,4> -> 48.543719 
<15,5> -> 48.566538 
<15,6> -> 48.570561 
<15,7> -> 48.571249 
<15,8> -> 48.571249 
<15,9> -> 48.570561 
<15,10> -> 48.566538 
<15,11> -> 48.543719 
<15,12> -> 48.414411 
<15,13> -> 47.681661 
<15,14> -> 43.529412 
<15,15> -> 20.000000 
