<0,0> -> 0.000000 
<1,0> -> 45.000000 
<1,1> -> 45.000000 
<2,0> -> 51.750000 
<2,1> -> 103.500000 
<2,2> -> 51.750000 
<3,0> -> 52.762500 
<3,1> -> 113.287500 
<3,2> -> 113.287500 
<3,3> -> 52.762500 
<4,0> -> 52.914375 
<4,1> -> 114.907500 
<4,2> -> 123.986250 
<4,3> -> 114.907500 
<4,4> -> 52.914375 
<5,0> -> 52.937156 
<5,1> -> 115.173281 
<5,2> -> 125.834063 
<5,3> -> 125.834063 
<5,4> -> 115.173281 
<5,5> -> 52.937156 
<6,0> -> 52.940573 
<6,1> -> 115.216566 
<6,2> -> 126.151102 
<6,3> -> 127.750219 
<6,4> -> 126.151102 
<6,5> -> 115.216566 
<6,6> -> 52.940573 
