<0,0> -> 0.000000 
<1,0> -> 200.000000 
<1,1> -> 200.000000 
<2,0> -> 230.000000 
<2,1> -> 460.000000 
<2,2> -> 230.000000 
<3,0> -> 234.500000 
<3,1> -> 503.500000 
<3,2> -> 503.500000 
<3,3> -> 234.500000 
<4,0> -> 235.175000 
<4,1> -> 510.700000 
<4,2> -> 551.050000 
<4,3> -> 510.700000 
<4,4> -> 235.175000 
<5,0> -> 235.276250 
<5,1> -> 511.881250 
<5,2> -> 559.262500 
<5,3> -> 559.262500 
<5,4> -> 511.881250 
<5,5> -> 235.276250 
<6,0> -> 235.291438 
<6,1> -> 512.073625 
<6,2> -> 560.671563 
<6,3> -> 567.778750 
<6,4> -> 560.671562 
<6,5> -> 512.073625 
<6,6> -> 235.291438 
<7,0> -> 235.293716 
<7,1> -> 512.104759 
<7,2> -> 560.911778 
<7,3> -> 569.267547 
<7,4> -> 569.267547 
<7,5> -> 560.911778 
<7,6> -> 512.104759 
<7,7> -> 235.293716 
<8,0> -> 235.294057 
<8,1> -> 512.109771 
<8,2> -> 560.952481 
<8,3> -> 569.526899 
<8,4> -> 570.780264 
<8,5> -> 569.526899 
<8,6> -> 560.952481 
<8,7> -> 512.109771 
<8,8> -> 235.294057 
<9,0> -> 235.294109 
<9,1> -> 512.110574 
<9,2> -> 560.959338 
<9,3> -> 569.571907 
<9,4> -> 571.046074 
<9,5> -> 571.046074 
<9,6> -> 569.571907 
<9,7> -> 560.959338 
<9,8> -> 512.110574 
<9,9> -> 235.294109 
<10,0> -> 235.294116 
<10,1> -> 512.110702 
<10,2> -> 560.960487 
<10,3> -> 569.579687 
<10,4> -> 571.092697 
<10,5> -> 571.313822 
<10,6> -> 571.092697 
<10,7> -> 569.579687 
<10,8> -> 560.960487 
<10,9> -> 512.110702 
<10,10> -> 235.294116 
<11,0> -> 235.294117 
<11,1> -> 512.110723 
<11,2> -> 560.960678 
<11,3> -> 569.581026 
<11,4> -> 571.100858 
<11,5> -> 571.360978 
<11,6> -> 571.360978 
<11,7> -> 571.100858 
<11,8> -> 569.581026 
<11,9> -> 560.960678 
<11,10> -> 512.110723 
<11,11> -> 235.294117 
<12,0> -> 235.294118 
<12,1> -> 512.110726 
<12,2> -> 560.960710 
<12,3> -> 569.581256 
<12,4> -> 571.102283 
<12,5> -> 571.369275 
<12,6> -> 571.408293 
<12,7> -> 571.369275 
<12,8> -> 571.102283 
<12,9> -> 569.581256 
<12,10> -> 560.960710 
<12,11> -> 512.110726 
<12,12> -> 235.294118 
<13,0> -> 235.294118 
<13,1> -> 512.110727 
<13,2> -> 560.960715 
<13,3> -> 569.581295 
<13,4> -> 571.102531 
<13,5> -> 571.370734 
<13,6> -> 571.416635 
<13,7> -> 571.416635 
<13,8> -> 571.370734 
<13,9> -> 571.102531 
<13,10> -> 569.581295 
<13,11> -> 560.960715 
<13,12> -> 512.110727 
<13,13> -> 235.294118 
<14,0> -> 235.294118 
<14,1> -> 512.110727 
<14,2> -> 560.960716 
<14,3> -> 569.581302 
<14,4> -> 571.102574 
<14,5> -> 571.370990 
<14,6> -> 571.418105 
<14,7> -> 571.424991 
<14,8> -> 571.418105 
<14,9> -> 571.370990 
<14,10> -> 571.102574 
<14,11> -> 569.581302 
<14,12> -> 560.960716 
<14,13> -> 512.110727 
<14,14> -> 235.294118 
<15,0> -> 235.294118 
<15,1> -> 512.110727 
<15,2> -> 560.960716 
<15,3> -> 569.581303 
<15,4> -> 571.102581 
<15,5> -> 571.371035 
<15,6> -> 571.418364 
<15,7> -> 571.426464 
<15,8> -> 571.426464 
<15,9> -> 571.418364 
<15,10> -> 571.371035 
<15,11> -> 571.102581 
<15,12> -> 569.581303 
<15,13> -> 560.960716 
<15,14> -> 512.110727 
<15,15> -> 235.294118 
<16,0> -> 235.294118 
<16,1> -> 512.110727 
<16,2> -> 560.960716 
<16,3> -> 569.581303 
<16,4> -> 571.102583 
<16,5> -> 571.371042 
<16,6> -> 571.418410 
<16,7> -> 571.426724 
<16,8> -> 571.427939 
<16,9> -> 571.426724 
<16,10> -> 571.418410 
<16,11> -> 571.371042 
<16,12> -> 571.102583 
<16,13> -> 569.581303 
<16,14> -> 560.960716 
<16,15> -> 512.110727 
<16,16> -> 235.294118 
<17,0> -> 235.294118 
<17,1> -> 512.110727 
<17,2> -> 560.960716 
<17,3> -> 569.581303 
<17,4> -> 571.102583 
<17,5> -> 571.371044 
<17,6> -> 571.418418 
<17,7> -> 571.426770 
<17,8> -> 571.428200 
<17,9> -> 571.428200 
<17,10> -> 571.426770 
<17,11> -> 571.418418 
<17,12> -> 571.371044 
<17,13> -> 571.102583 
<17,14> -> 569.581303 
<17,15> -> 560.960716 
<17,16> -> 512.110727 
<17,17> -> 235.294118 
<18,0> -> 235.294118 
<18,1> -> 512.110727 
<18,2> -> 560.960716 
<18,3> -> 569.581303 
<18,4> -> 571.102583 
<18,5> -> 571.371044 
<18,6> -> 571.418419 
<18,7> -> 571.426778 
